"報名","日期","版次","系統代碼","標題","廣告主","分類","品牌","影像URL"
"社會日報","1940-01-01","3","578339","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578339"
"社會日報","1940-01-02","2/3","578404","專治小兒胎毒濕毒","黃惠光","中西藥業  ","黃惠光  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578404"
"社會日報","1940-01-02","4","578384","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578384"
"社會日報","1940-01-02","2/3","578411","內外兒科花柳各科","顧新漁","中西藥業  ","顧新漁  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578411"
"社會日報","1940-01-03","2/3","578422","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578422"
"社會日報","1940-01-03","3","578433","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578433"
"社會日報","1940-01-04","2/3","578447","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578447"
"社會日報","1940-01-05","2/3","578469","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578469"
"社會日報","1940-01-05","3","578477","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578477"
"蘇州新報","1940-01-05","06","1671509","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671509"
"蘇州新報","1940-01-05","06","1671504","朱少琴秘製濕毒丹","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671504"
"蘇州新報","1940-01-05","02","1671417","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671417"
"蘇州新報","1940-01-05","02","1671419","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671419"
"社會日報","1940-01-06","2/3","578487","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578487"
"社會日報","1940-01-06","4","578489","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578489"
"社會日報","1940-01-06","3","578499","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578499"
"蘇州新報","1940-01-06","02","1671572","患花柳白濁者注意 介之醫院","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671572"
"蘇州新報","1940-01-06","02","1671571","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671571"
"蘇州新報","1940-01-06","06","1671667","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671667"
"社會日報","1940-01-07","2/3","578510","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578510"
"蘇州新報","1940-01-07","02","1671712","朱少琴秘製濕毒丹","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671712"
"蘇州新報","1940-01-07","02","1671713","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671713"
"蘇州新報","1940-01-07","06","1671802","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671802"
"社會日報","1940-01-08","3","578543","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578543"
"社會日報","1940-01-08","2/3","578533","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578533"
"蘇州新報","1940-01-08","02","1671851","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671851"
"蘇州新報","1940-01-08","02","1671855","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671855"
"社會日報","1940-01-09","2/3","578550","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578550"
"蘇州新報","1940-01-09","02","1671976","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671976"
"蘇州新報","1940-01-09","02","1671972","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671972"
"蘇州新報","1940-01-09","02","1671970","朱少琴秘製濕毒丹","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671970"
"蘇州新報","1940-01-09","03","1671998","淋濁 遺精 遺遣果暫時可止是為可喜 遺止而淋濁更甚又為可畏","O床O薪",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671998"
"蘇州新報","1940-01-09","06","1672068","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672068"
"社會日報","1940-01-10","3","578583","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578583"
"社會日報","1940-01-10","2/3","578574","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578574"
"蘇州新報","1940-01-10","06","1672247","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672247"
"蘇州新報","1940-01-10","02","1672122","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672122"
"社會日報","1940-01-11","3","578598","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578598"
"社會日報","1940-01-11","2/3","578595","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578595"
"蘇州新報","1940-01-11","02","1672344","朱少琴秘製濕毒丹","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672344"
"蘇州新報","1940-01-11","02","1672346","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672346"
"蘇州新報","1940-01-11","06","1672423","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672423"
"蘇州新報","1940-01-11","02","1672342","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672342"
"社會日報","1940-01-12","2/3","578616","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578616"
"蘇州新報","1940-01-12","06","1672582","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672582"
"蘇州新報","1940-01-12","02","1672469","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672469"
"蘇州新報","1940-01-12","02","1672473","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672473"
"社會日報","1940-01-13","3","578646","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578646"
"社會日報","1940-01-13","2/3","578636","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578636"
"蘇州新報","1940-01-13","06","1672766","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672766"
"蘇州新報","1940-01-13","02","1672683","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672683"
"蘇州新報","1940-01-13","02","1672678","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672678"
"社會日報","1940-01-14","2/3","578656","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578656"
"社會日報","1940-01-14","3","578667","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578667"
"蘇州新報","1940-01-14","02","1672828","朱少琴秘製濕毒丹","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672828"
"蘇州新報","1940-01-14","02","1672827","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672827"
"蘇州新報","1940-01-14","02","1672832","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672832"
"蘇州新報","1940-01-14","06","1672899","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672899"
"社會日報","1940-01-15","2/3","578679","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578679"
"蘇州新報","1940-01-15","02","1672956","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1672956"
"蘇州新報","1940-01-15","05","1673127","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673127"
"社會日報","1940-01-16","4","1441807","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1441807"
"社會日報","1940-01-16","3","578706","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578706"
"社會日報","1940-01-16","4","578703","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578703"
"蘇州新報","1940-01-16","02","1673179","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673179"
"蘇州新報","1940-01-16","06","1673283","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673283"
"社會日報","1940-01-17","4","1441204","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1441204"
"社會日報","1940-01-17","3","578737","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578737"
"社會日報","1940-01-17","2/3","578727","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578727"
"蘇州新報","1940-01-17","03","1673356","朱少琴秘製濕毒丹","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673356"
"蘇州新報","1940-01-17","06","1673556","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673556"
"蘇州新報","1940-01-17","02","1673322","患花柳白濁者注意 介之醫院","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673322"
"蘇州新報","1940-01-17","02","1673325","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673325"
"社會日報","1940-01-18","4","1400917","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1400917"
"社會日報","1940-01-18","4","578754","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578754"
"社會日報","1940-01-18","2/3","578770","專治小兒胎毒濕毒","黃惠光","中西藥業  ","黃惠光  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578770"
"蘇州新報","1940-01-18","06","1673693","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673693"
"蘇州新報","1940-01-18","02","1673622","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673622"
"社會日報","1940-01-19","2/3","578784","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578784"
"社會日報","1940-01-19","3","578795","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578795"
"社會日報","1940-01-19","4","1407881","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1407881"
"蘇州新報","1940-01-19","02","1673754","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673754"
"蘇州新報","1940-01-19","02","1673749","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673749"
"蘇州新報","1940-01-19","06","1673847","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673847"
"社會日報","1940-01-20","4","578805","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578805"
"社會日報","1940-01-20","2/3","578822","專治小兒胎毒濕毒","黃惠光","中西藥業  ","黃惠光  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578822"
"社會日報","1940-01-20","3","578830","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578830"
"社會日報","1940-01-20","4","1450356","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1450356"
"蘇州新報","1940-01-20","02","1673999","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673999"
"蘇州新報","1940-01-20","02","1673998","朱少琴秘製濕毒丹","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673998"
"蘇州新報","1940-01-20","02","1673995","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1673995"
"蘇州新報","1940-01-20","06","1674032","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674032"
"社會日報","1940-01-21","3","578844","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578844"
"社會日報","1940-01-21","2/3","578841","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578841"
"社會日報","1940-01-21","4","1438223","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1438223"
"蘇州新報","1940-01-21","06","1674140","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674140"
"蘇州新報","1940-01-21","02","1674085","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674085"
"蘇州新報","1940-01-21","05","1674120","皮膚花柳科 鐘介之醫師","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674120"
"社會日報","1940-01-22","1","1438229","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1438229"
"社會日報","1940-01-22","2/3","578880","專治小兒胎毒濕毒","黃惠光","中西藥業  ","黃惠光  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578880"
"蘇州新報","1940-01-22","06","1674214","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674214"
"蘇州新報","1940-01-22","02","1674179","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674179"
"社會日報","1940-01-23","2/3","578894","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578894"
"社會日報","1940-01-23","1","1437559","淋病講座　","其他",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=1437559"
"蘇州新報","1940-01-23","02","1674262","感謝採芝堂大藥房靈藥治愈白濁梅毒","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674262"
"蘇州新報","1940-01-23","06","1674301","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674301"
"蘇州新報","1940-01-23","02","1674260","患花柳白濁者注意 介之醫院","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1674260"
"社會日報","1940-01-24","4","578912","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578912"
"社會日報","1940-01-24","2/3","578930","專治小兒胎毒濕毒","黃惠光","中西藥業  ","黃惠光  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578930"
