"報名","日期","版次","系統代碼","標題","廣告主","分類","品牌","影像URL"
"蘇州新報","1940-09-05","03","966683","國藥淋濁丸--羣濟大藥社發行",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=966683"
"社會日報","1940-09-06","4","583765","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583765"
"社會日報","1940-09-06","4","583761","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583761"
"社會日報","1940-09-06","1","583758","專治白濁等","父子醫院","中西藥業  ","父子醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583758"
"社會日報","1940-09-06","4","583754","負責包愈白濁","大生醫院","中西藥業  ","大生醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583754"
"社會日報","1940-09-06","2/3","583766","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583766"
"蘇州新報","1940-09-06","02","966745","皮膚花柳科專門鍾介之醫師",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=966745"
"蘇州新報","1940-09-06","06","966826","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=966826"
"社會日報","1940-09-07","4","583796","馳名全球　白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583796"
"社會日報","1940-09-07","4","583779","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583779"
"社會日報","1940-09-07","2/3","583785","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583785"
"蘇州新報","1940-09-07","06","966985","補虛白帶丸藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=966985"
"蘇州新報","1940-09-07","06","966981","國藥淋濁丸--羣濟大藥社發行",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=966981"
"蘇州新報","1940-09-07","04","966939","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=966939"
"蘇州新報","1940-09-07","03","966919","濕毒丹疥瘡藥品廣告",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=966919"
"社會日報","1940-09-08","3","583804","專治白濁等","父子醫院","中西藥業  ","父子醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583804"
"社會日報","1940-09-08","2/3","583812","白濁專家醫師姚佐穎親自應診","姚佐穎","中西藥業  ","姚佐穎  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583812"
"社會日報","1940-09-08","4","583807","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=583807"
"蘇州新報","1940-09-08","05","967064","感謝採芝堂大藥房靈藥治癒白濁梅毒",,,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=967064"
